Full_Name,Age,Marital_Status,Employment_Status,Income_AMD,Education_Level,Loan_Amount_AMD,Loan_Purpose,Collateral,FICO_Score,Debt_to_Income_Ratio,Num_Open_Credit_Lines,Previous_Defaults,Loan_Term,Interest_Rate,Employment_Duration_Years,Alternative_Income_AMD,Creditworthiness
Karen Sargsyan,67,Divorced,Employed,2950000,Master's,2600000,Loan granted to individuals,Yes,721,0.37,3,1,24,13.33,17,1900000,Medium
Ara Poghosyan,26,Divorced,Employed,2330000,Bachelor's,2750000,Leasing finance,Yes,764,0.14,1,2,60,18.24,1,450000,High
Ruzanna Avagyan,43,Single,Self-Employed,1630000,High School,1850000,Mortgage loan,No,728,0.45,3,1,60,18.22,25,550000,Medium
Hasmik Melkonyan,19,Single,Employed,2090000,Bachelor's,200000,Mortgage loan,No,696,0.51,2,3,24,17.48,1,3600000,Low
Hasmik Harutyunyan,37,Widowed,Employed,1210000,Master's,2750000,Mortgage loan,Yes,493,0.18,2,0,36,9.41,19,4700000,Very Low
Samvel Avetisyan,45,Divorced,Self-Employed,2610000,Bachelor's,600000,Commercial and industrial loan,No,365,0.47,4,1,36,10.63,24,3050000,Very Low
Hakob Karapetyan,64,Widowed,Employed,2450000,Master's,950000,Leasing finance,No,775,0.42,4,4,60,12.46,30,3550000,Low
Vardan Avetisyan,24,Single,Employed,2030000,Master's,3950000,Loan granted to individuals,No,325,0.31,3,2,24,18.32,1,3800000,Very Low
Tigran Hakobyan,61,Divorced,Employed,370000,Master's,2850000,Agricultural loan,Yes,398,0.18,4,0,36,18.61,15,1300000,Very Low
Arsen Harutyunyan,25,Married,Self-Employed,830000,PhD,4700000,Consumer loan,Yes,775,0.58,4,1,48,9.46,4,200000,Low
Ruzanna Hakobyan,64,Divorced,Retired,92000,Bachelor's,1850000,Loan granted to financial institutions,Yes,381,0.33,3,2,36,12.57,44,0,Very Low
Hasmik Ghazaryan,52,Single,Self-Employed,210000,Bachelor's,3800000,Loan granted to individuals,Yes,697,0.19,4,1,60,18.35,17,1750000,Medium
Lusine Poghosyan,31,Single,Self-Employed,1030000,Bachelor's,4150000,Agricultural loan,Yes,692,0.46,2,4,60,11.75,13,1200000,Medium
Sargis Hakobyan,34,Divorced,Employed,1110000,Bachelor's,4900000,Loan granted to financial institutions,Yes,343,0.4,3,3,12,19.74,6,300000,Low
Mariam Hakobyan,53,Widowed,Self-Employed,2670000,Master's,350000,Mortgage loan,No,777,0.51,2,4,24,14.38,28,850000,Low
Vahan Melkonyan,67,Married,Employed,1050000,High School,4600000,Loan granted to financial institutions,Yes,390,0.6,2,3,12,19.31,22,600000,Low
Edgar Poghosyan,57,Widowed,Employed,2370000,Bachelor's,2750000,Consumer loan,Yes,628,0.12,1,2,36,13.72,33,4550000,Low
Arsen Hakobyan,21,Single,Self-Employed,430000,Master's,1400000,Commercial and industrial loan,Yes,713,0.47,1,1,48,12.56,2,700000,Medium
Mariam Hovhannisyan,19,Single,Self-Employed,1290000,Master's,4650000,Leasing finance,Yes,409,0.59,4,1,36,12.99,0,2650000,Low
Mariam Sargsyan,23,Married,Employed,1830000,Master's,1850000,Loan granted to individuals,Yes,518,0.37,2,4,12,18.73,4,2950000,Low
Arsen Avagyan,59,Single,Employed,2630000,Master's,4200000,Commercial and industrial loan,Yes,762,0.46,4,0,24,12.64,17,2700000,High
Hovhannes Hovhannisyan,21,Divorced,Employed,950000,Master's,3050000,Leasing finance,Yes,814,0.32,3,2,24,16.36,2,450000,Very Low
Gor Nazaryan,46,Married,Employed,1270000,Master's,3750000,Consumer loan,Yes,556,0.28,2,3,36,14.17,1,1550000,Low
Arsen Sargsyan,35,Single,Employed,630000,Bachelor's,1950000,Loan granted to financial institutions,Yes,492,0.45,4,2,48,19.36,1,250000,Very Low
Meline Avetisyan,43,Widowed,Employed,1010000,PhD,1150000,Agricultural loan,Yes,369,0.59,2,4,36,10.75,17,1950000,Low
Narine Nazaryan,61,Married,Unemployed,0,Master's,2600000,Leasing finance,Yes,758,0.15,4,1,24,13.72,38,900000,Very Low
Vardan Gevorgyan,51,Widowed,Employed,2950000,Bachelor's,4200000,Consumer loan,Yes,681,0.31,3,3,48,10.37,20,2800000,Medium
Karen Hovhannisyan,27,Single,Employed,1210000,Bachelor's,4200000,Consumer loan,No,793,0.57,1,3,60,15.36,0,3450000,Low
Hasmik Hakobyan,53,Divorced,Self-Employed,670000,Master's,550000,Commercial and industrial loan,Yes,396,0.16,2,3,24,13.43,1,2650000,Low
Hasmik Harutyunyan,31,Single,Self-Employed,290000,PhD,3300000,Mortgage loan,Yes,523,0.43,4,3,36,9.67,9,2150000,Low
Anahit Ghazaryan,48,Married,Employed,2530000,Bachelor's,650000,Loan granted to financial institutions,Yes,580,0.32,1,2,12,18.35,14,1900000,Low
Karen Avetisyan,65,Married,Retired,70500,High School,3850000,Consumer loan,Yes,632,0.29,3,2,24,13.13,11,4200000,Low
Narine Avetisyan,32,Married,Unemployed,0,PhD,2050000,Loan granted to individuals,No,704,0.2,1,4,48,14.43,2,1050000,Low
Hayk Markosyan,25,Married,Employed,1670000,PhD,2450000,Mortgage loan,Yes,795,0.19,3,1,36,13.48,5,3650000,High
Liana Petrosyan,31,Divorced,Employed,1810000,Bachelor's,750000,Consumer loan,No,485,0.36,4,1,48,14.38,3,3750000,Very Low
Vahan Hovhannisyan,40,Widowed,Self-Employed,230000,Bachelor's,2800000,Loan granted to financial institutions,Yes,337,0.29,3,2,60,9.18,8,2050000,Very Low
Meline Karapetyan,57,Widowed,Employed,1310000,Master's,2700000,Leasing finance,Yes,787,0.35,1,4,48,17.97,9,1450000,Low
Meline Nazaryan,38,Divorced,Employed,510000,Bachelor's,1550000,Commercial and industrial loan,No,805,0.2,4,0,36,12.66,4,2350000,Very High
Sona Sargsyan,33,Married,Employed,1430000,PhD,3050000,Loan granted to financial institutions,No,788,0.28,4,3,36,16.97,10,450000,Low
Ruben Vardanyan,62,Single,Employed,1490000,High School,2900000,Agricultural loan,Yes,356,0.6,2,1,24,9.71,26,200000,Low
Narek Sargsyan,35,Single,Employed,1450000,High School,4350000,Mortgage loan,Yes,811,0.28,4,3,48,14.76,13,550000,Low
Trdat Gevorgyan,64,Married,Self-Employed,790000,Bachelor's,3000000,Commercial and industrial loan,Yes,547,0.31,4,1,24,19,5,900000,Very Low
Karine Hakobyan,41,Divorced,Employed,2830000,Bachelor's,2650000,Loan granted to individuals,Yes,403,0.11,4,0,12,13.38,10,2500000,Very Low
Ashot Gevorgyan,43,Divorced,Employed,230000,High School,4300000,Loan granted to financial institutions,No,359,0.29,2,1,24,11.17,10,4200000,Very Low
Karen Mkrtchyan,42,Single,Employed,2870000,High School,3050000,Consumer loan,Yes,537,0.48,3,0,24,10.09,2,1150000,Very Low
Vardan Harutyunyan,62,Single,Self-Employed,2950000,Master's,4000000,Agricultural loan,Yes,670,0.36,1,1,48,18.45,44,4650000,Medium
Vahagn Karapetyan,58,Widowed,Employed,1090000,Bachelor's,2100000,Mortgage loan,Yes,325,0.43,4,2,60,11.63,17,4750000,Very Low
Arsen Markosyan,46,Widowed,Employed,1050000,PhD,1450000,Mortgage loan,Yes,692,0.38,1,3,60,19.73,17,4750000,Medium
Anush Melkonyan,32,Single,Self-Employed,1410000,Bachelor's,4200000,Mortgage loan,Yes,409,0.15,1,4,48,11.73,5,4150000,Low
Vahan Melkonyan,62,Widowed,Employed,710000,Master's,4600000,Consumer loan,Yes,691,0.27,4,4,24,14.29,12,1800000,Medium
Trdat Avagyan,18,Widowed,Employed,490000,Bachelor's,1350000,Agricultural loan,Yes,553,0.45,1,1,24,14.04,0,350000,Very Low
Hayk Hovhannisyan,42,Single,Employed,510000,Bachelor's,2200000,Agricultural loan,No,396,0.37,3,4,24,9.68,5,2800000,Low
Karen Vardanyan,24,Single,Employed,310000,Master's,4650000,Consumer loan,Yes,837,0.44,1,3,24,14.85,3,2750000,Low
Lilit Hakobyan,26,Divorced,Employed,150000,Master's,250000,Commercial and industrial loan,No,403,0.28,1,2,36,16.4,6,4200000,Very Low
David Poghosyan,41,Widowed,Unemployed,0,Master's,2600000,Agricultural loan,Yes,795,0.2,2,2,60,17.16,13,4950000,Very Low
Aram Avagyan,18,Widowed,Employed,910000,Master's,2650000,Consumer loan,No,513,0.51,3,0,48,14.75,0,2500000,Low
Narine Melkonyan,61,Married,Employed,1230000,Master's,2600000,Leasing finance,Yes,412,0.29,1,4,60,17.94,8,1700000,Low
Ashot Nazaryan,25,Single,Employed,1170000,Bachelor's,1900000,Mortgage loan,No,611,0.43,4,3,36,17.27,2,900000,Low
Trdat Nazaryan,41,Divorced,Employed,1410000,PhD,2200000,Commercial and industrial loan,Yes,400,0.29,1,4,36,11.13,14,0,Low
Nune Harutyunyan,28,Divorced,Employed,610000,Master's,2650000,Consumer loan,Yes,383,0.56,4,3,60,13.42,6,2500000,Low
Liana Nazaryan,68,Married,Self-Employed,670000,PhD,100000,Loan granted to individuals,Yes,601,0.6,3,0,48,10.57,38,2750000,Low
Ashot Ghazaryan,34,Widowed,Employed,2430000,Master's,2700000,Leasing finance,No,516,0.42,3,4,36,10.47,1,4100000,Low
Armine Ghazaryan,25,Divorced,Unemployed,0,High School,4200000,Consumer loan,Yes,840,0.4,2,2,36,16.83,3,2500000,Very Low
Edgar Karapetyan,52,Widowed,Employed,1450000,Bachelor's,3850000,Commercial and industrial loan,Yes,391,0.52,4,0,12,14.84,13,4550000,Low
Vahan Sargsyan,52,Widowed,Employed,2510000,Master's,4500000,Loan granted to financial institutions,No,751,0.36,4,4,60,15.61,32,3100000,Low
Lilit Vardanyan,50,Divorced,Employed,1370000,Master's,1750000,Mortgage loan,Yes,370,0.53,3,2,24,17.05,11,4200000,Low
Hasmik Melkonyan,22,Single,Employed,2930000,Master's,2300000,Commercial and industrial loan,No,824,0.31,4,2,36,12.05,2,700000,Very Low
Lilit Hovhannisyan,59,Divorced,Employed,930000,Master's,3600000,Mortgage loan,Yes,700,0.12,4,3,48,13.41,20,4250000,Medium
Anush Gevorgyan,56,Married,Employed,330000,Bachelor's,4600000,Consumer loan,Yes,380,0.56,1,2,48,15.67,29,3350000,Low
Anahit Ghazaryan,58,Divorced,Self-Employed,1230000,Bachelor's,3950000,Agricultural loan,Yes,399,0.46,2,1,12,10.06,21,850000,Very Low
Sargis Poghosyan,45,Married,Employed,1710000,High School,2750000,Loan granted to individuals,Yes,517,0.36,1,4,12,18.16,1,900000,Low
Tatev Nazaryan,24,Divorced,Employed,1910000,Master's,3600000,Leasing finance,No,424,0.57,3,4,48,12.78,4,4600000,Low
Areg Karapetyan,26,Married,Employed,210000,Master's,550000,Loan granted to individuals,Yes,500,0.54,4,3,36,16.25,7,150000,Low
Nune Petrosyan,25,Married,Employed,2670000,Bachelor's,1450000,Agricultural loan,No,301,0.15,4,2,24,19.95,7,2300000,Very Low
Mariam Harutyunyan,29,Married,Employed,590000,Master's,3450000,Loan granted to financial institutions,Yes,319,0.41,3,3,60,14.23,11,1550000,Low
Narek Markosyan,51,Married,Employed,2150000,High School,3150000,Commercial and industrial loan,Yes,479,0.37,4,1,48,11.37,6,3300000,Very Low
Gagik Hakobyan,50,Divorced,Employed,1110000,High School,2350000,Consumer loan,No,708,0.49,3,3,36,11.38,1,4150000,Medium
Tigran Nazaryan,65,Divorced,Self-Employed,2250000,Master's,350000,Commercial and industrial loan,Yes,361,0.25,2,4,48,9.66,39,1800000,Low
Tatev Hovhannisyan,40,Divorced,Self-Employed,210000,Bachelor's,3200000,Agricultural loan,Yes,572,0.1,4,3,24,17.44,18,2100000,Low
Tatev Karapetyan,41,Married,Employed,2710000,Master's,4100000,Loan granted to financial institutions,Yes,309,0.19,1,4,60,12.23,18,4900000,Low
Arpi Ghazaryan,54,Married,Employed,2750000,Master's,3200000,Leasing finance,Yes,839,0.21,1,0,60,10.9,17,3900000,Very High
Liana Gevorgyan,52,Married,Self-Employed,1270000,PhD,4600000,Consumer loan,Yes,759,0.25,2,1,48,16.85,33,4450000,High
Lusine Markosyan,61,Married,Employed,1310000,Bachelor's,600000,Agricultural loan,Yes,360,0.29,3,1,48,12.4,1,2150000,Very Low
Liana Petrosyan,57,Widowed,Employed,2370000,Bachelor's,600000,Leasing finance,Yes,357,0.45,4,4,48,15.61,37,1150000,Low
Trdat Ghazaryan,39,Married,Employed,2490000,Master's,1800000,Agricultural loan,Yes,599,0.14,4,0,48,13.6,7,2050000,Low
Liana Harutyunyan,44,Single,Employed,490000,Master's,1450000,Loan granted to individuals,Yes,796,0.34,1,2,36,12.68,18,3550000,High
Hasmik Nazaryan,52,Married,Employed,1250000,Master's,550000,Leasing finance,Yes,638,0.35,3,3,36,14.38,5,500000,Low
Hayk Nazaryan,18,Married,Employed,2650000,Bachelor's,2650000,Loan granted to financial institutions,No,551,0.41,3,2,24,12.45,0,1350000,Very Low
Arman Harutyunyan,52,Divorced,Employed,2850000,Bachelor's,3500000,Loan granted to individuals,No,706,0.26,4,0,36,18.58,16,200000,Medium
Levon Markosyan,54,Divorced,Employed,630000,Master's,4250000,Mortgage loan,Yes,555,0.23,4,1,36,9.8,22,2150000,Very Low
Vahan Vardanyan,64,Married,Self-Employed,2530000,Master's,3700000,Agricultural loan,Yes,680,0.34,1,2,24,9.33,39,4100000,Medium
Ashot Hovhannisyan,31,Married,Employed,1530000,Bachelor's,4800000,Commercial and industrial loan,Yes,444,0.43,3,0,48,13.47,8,100000,Very Low
Vahagn Markosyan,20,Single,Employed,930000,High School,2350000,Loan granted to financial institutions,Yes,640,0.12,4,1,36,10.9,1,3350000,Low
Gor Petrosyan,18,Married,Employed,1810000,Master's,1650000,Commercial and industrial loan,Yes,702,0.25,4,2,36,17.18,0,4650000,Medium
Areg Hovhannisyan,22,Married,Self-Employed,1790000,Bachelor's,4050000,Agricultural loan,Yes,587,0.49,1,1,24,12.89,4,1150000,Low
Karen Vardanyan,43,Widowed,Self-Employed,2190000,Bachelor's,3350000,Commercial and industrial loan,Yes,513,0.34,1,4,36,11.88,5,3450000,Low
Ruzanna Hakobyan,31,Divorced,Unemployed,0,High School,2150000,Mortgage loan,Yes,831,0.58,4,1,48,12.95,4,4850000,Low
Artur Ghazaryan,56,Divorced,Employed,2110000,Bachelor's,900000,Leasing finance,Yes,847,0.53,2,1,36,11.41,20,4800000,Low
Narine Gevorgyan,44,Single,Self-Employed,2250000,Master's,3700000,Commercial and industrial loan,Yes,510,0.27,1,0,36,12.3,26,1150000,Very Low
Gor Harutyunyan,26,Single,Unemployed,0,Bachelor's,2650000,Consumer loan,Yes,470,0.46,4,0,48,15.25,6,500000,Very Low
Narek Petrosyan,32,Divorced,Employed,2170000,High School,1950000,Consumer loan,Yes,837,0.24,2,3,36,18.5,13,700000,Low
Anahit Poghosyan,32,Divorced,Employed,1490000,High School,3600000,Agricultural loan,No,562,0.19,4,0,36,13.08,14,3500000,Very Low
Hayk Hakobyan,43,Divorced,Employed,970000,Bachelor's,1700000,Loan granted to financial institutions,Yes,689,0.54,3,4,12,12.53,19,3600000,Low
Narek Poghosyan,59,Married,Unemployed,0,Master's,1850000,Commercial and industrial loan,Yes,720,0.28,2,4,36,17.6,37,3350000,Low
Gevorg Gevorgyan,30,Divorced,Employed,470000,High School,2050000,Commercial and industrial loan,Yes,361,0.2,3,1,48,9.25,3,1650000,Very Low
Narine Hakobyan,68,Single,Employed,2450000,Master's,4850000,Loan granted to financial institutions,Yes,385,0.58,4,0,36,12.32,17,800000,Low
Tigran Gevorgyan,49,Widowed,Self-Employed,2610000,High School,2450000,Loan granted to financial institutions,Yes,790,0.12,2,3,24,13.97,17,2900000,Low
Arsen Karapetyan,56,Divorced,Self-Employed,1010000,Bachelor's,500000,Commercial and industrial loan,Yes,359,0.28,3,0,24,15.61,28,2400000,Very Low
Samvel Hakobyan,66,Divorced,Self-Employed,670000,Bachelor's,2000000,Consumer loan,Yes,776,0.12,1,3,24,10.72,35,3600000,Low
Gayane Avagyan,69,Married,Self-Employed,1290000,High School,900000,Consumer loan,No,619,0.35,2,1,12,13.76,26,2200000,Low
Mariam Gevorgyan,49,Divorced,Employed,1970000,Master's,1250000,Mortgage loan,No,351,0.3,1,4,36,15.23,20,1650000,Low
Gayane Gevorgyan,21,Married,Unemployed,0,Bachelor's,2050000,Agricultural loan,No,376,0.46,1,0,24,14.61,0,1450000,Very Low
Hayk Ghazaryan,47,Single,Employed,2150000,Master's,1800000,Loan granted to financial institutions,Yes,418,0.58,3,0,48,15.32,2,1050000,Low
Hovhannes Harutyunyan,54,Married,Self-Employed,2010000,High School,100000,Loan granted to individuals,Yes,481,0.36,4,4,60,16.29,4,1300000,Low
Gor Petrosyan,40,Divorced,Employed,2970000,High School,4150000,Leasing finance,Yes,805,0.24,3,4,12,13.17,19,450000,Low
Areg Poghosyan,56,Married,Self-Employed,2850000,Bachelor's,3700000,Leasing finance,Yes,452,0.54,4,2,60,9.7,5,1700000,Low
Ani Petrosyan,62,Single,Unemployed,0,Master's,2450000,Loan granted to individuals,Yes,317,0.4,3,2,48,9.61,35,150000,Very Low
Nune Petrosyan,32,Widowed,Self-Employed,1050000,Bachelor's,3350000,Loan granted to financial institutions,Yes,363,0.38,3,2,60,18.45,4,900000,Very Low
Meline Ghazaryan,60,Married,Employed,1530000,Bachelor's,2650000,Agricultural loan,Yes,796,0.19,2,4,24,16.45,31,3700000,Low
Vahagn Nazaryan,46,Divorced,Employed,2830000,Bachelor's,950000,Consumer loan,Yes,378,0.12,4,2,60,17.41,6,1600000,Very Low
Armine Sargsyan,53,Single,Self-Employed,650000,High School,1300000,Mortgage loan,Yes,358,0.33,1,0,60,19.22,30,3300000,Very Low
Mari Karapetyan,30,Married,Employed,730000,PhD,2700000,Agricultural loan,Yes,710,0.36,4,4,60,17.26,7,3550000,Medium
Hasmik Hakobyan,49,Widowed,Self-Employed,250000,Master's,2550000,Leasing finance,Yes,360,0.16,4,0,48,16.62,12,2900000,Very Low
Arman Mkrtchyan,24,Married,Employed,1470000,Master's,1250000,Leasing finance,Yes,766,0.13,3,4,12,16.21,3,4750000,Low
Arpi Petrosyan,68,Single,Employed,1790000,Master's,850000,Consumer loan,Yes,378,0.21,1,1,24,11.84,41,100000,Very Low
Anush Avagyan,39,Divorced,Employed,830000,Master's,3700000,Agricultural loan,No,787,0.13,2,0,60,19.53,9,3650000,High
Samvel Nazaryan,45,Divorced,Unemployed,0,High School,3050000,Loan granted to individuals,No,543,0.13,3,4,24,14.96,7,4750000,Low
Arsen Petrosyan,19,Divorced,Unemployed,0,Master's,2300000,Loan granted to individuals,Yes,507,0.32,2,3,36,11.44,0,4300000,Low
Gor Melkonyan,59,Single,Employed,830000,Bachelor's,2750000,Consumer loan,Yes,386,0.51,2,4,12,11.31,28,800000,Low
Meline Hovhannisyan,62,Married,Employed,230000,Bachelor's,2500000,Leasing finance,Yes,338,0.43,4,1,48,17.97,13,1600000,Very Low
Vahan Sargsyan,23,Divorced,Employed,2170000,Master's,3750000,Leasing finance,No,475,0.44,1,4,36,11.75,3,850000,Low
Anush Harutyunyan,45,Divorced,Employed,250000,Master's,550000,Loan granted to financial institutions,Yes,777,0.23,4,1,60,9.46,19,3000000,High
Gayane Hakobyan,45,Widowed,Employed,1990000,Master's,600000,Leasing finance,No,319,0.11,1,2,60,13.71,1,3550000,Very Low
Suren Avetisyan,61,Widowed,Self-Employed,590000,Master's,2000000,Loan granted to individuals,Yes,520,0.33,2,0,36,17.99,40,1550000,Very Low
Ruzanna Sargsyan,61,Widowed,Employed,1310000,High School,2400000,Loan granted to financial institutions,No,574,0.29,4,1,48,13.56,37,2650000,Very Low
Vahagn Melkonyan,37,Single,Employed,2150000,Bachelor's,2800000,Loan granted to financial institutions,No,453,0.57,2,3,36,17.84,18,3450000,Low
Areg Petrosyan,47,Single,Employed,770000,High School,400000,Commercial and industrial loan,Yes,762,0.14,3,0,24,18.1,2,2100000,High
Edgar Karapetyan,28,Widowed,Employed,150000,Master's,4400000,Agricultural loan,Yes,708,0.49,1,4,60,18.43,10,4250000,Medium
Nune Harutyunyan,45,Single,Employed,690000,PhD,700000,Consumer loan,No,550,0.29,2,4,36,15.48,10,3850000,Low
